H_Altitude,V0_Airspeed,Sigma_Wx,L_Wx_Scale,Target_Yaw,ie_beta,ie_x,ie_y,qe,ic_beta,ic_x,ic_y
1111.2968784916345,111.0,2.8,466.661012901919,2.0,-0.07499067381362413,2.9546445471289693,4.458840755766693,-0.6936354055163817,0.42157810280773184,-1.9986373520234257,1.197971540542056
1210.969505231792,111.0,2.8,273.9365120491873,2.0,1.0009621485592781,2.8887625782599846,2.0500504868524247,0.12871399620028318,-1.2808720262290885,0.693661304795241,0.13714690597329868
834.8027290893606,111.0,2.8,465.0664476818798,2.0,-1.0583433695033526,0.4659745370455968,4.437810202643784,-0.980114685763649,1.7951085481104687,-1.9978528058245468,-0.7563107160976456
1460.5024701930279,111.0,2.8,255.13970517681219,2.0,1.965828469595623,0.5293380495578791,1.8143813935639852,1.0063605104397326,-2.646312951549663,1.0255793856409259,0.5495778543067543
925.1748832034534,111.0,2.8,468.1141483171704,2.0,-0.7451764133930466,1.5975821632531744,4.477213347302433,-0.9456484211673415,1.364450861329918,-1.9996177881135342,-0.11160230052676408
1310.1010729435643,111.0,2.8,413.3700401924693,2.0,0.833552201527528,2.257858558866914,3.7923654957365533,-0.025490593206710713,-0.9042783049832301,-1.6985716380821874,2.0001658128088424
1117.222627033678,111.0,2.8,440.7802679492361,2.0,0.041432611390166164,2.9657291986212932,4.13591667135663,-0.6004781083909436,0.23113203963842094,-1.9199915465130104,1.059229622199217
1369.9546891518276,111.0,2.8,420.74282579191225,2.0,1.0196915907723982,1.6536637559906409,3.8829786383437197,0.14784651977481358,-1.1567294065019142,-1.7719019116563868,2.4442381301068448
884.0217827630763,111.0,2.8,299.7654585707194,2.0,-0.2628324932991649,1.1038198482313226,2.3723068062657253,-0.4461012698916033,0.5160093633880822,0.20084051278819182,-0.7191264431002614
1266.4997319116376,111.0,2.8,295.22442413482366,2.0,1.1208661948019547,2.598742881975134,2.315373573763932,0.21415756681554482,-1.4242568122572854,0.2894157745119801,0.5110164594988307
1442.9399340684422,111.0,2.8,207.3040900218574,2.0,2.0814282282390453,0.7587183861612494,1.2159444807746176,1.086878550827337,-2.8563538602552967,1.6918305679641876,-0.17823404245326513
1414.8232579195,111.0,2.8,458.3950899840216,2.0,1.0384187003573682,1.1197993636349735,4.353293894483156,0.1932618802207133,-1.1464893128549396,-1.9865646946064341,3.232216601291669
801.733245715135,111.0,2.8,266.4217724261756,2.0,-0.43036027352379935,0.02359404406876687,1.955763224151314,-0.3639255529378626,0.7193689908141584,0.829606404714668,-0.995496109111473
1274.3648993025254,111.0,2.8,161.07703354850543,2.0,1.6519535694064458,2.5442415234830236,0.6392868890337322,0.6547211217007152,-2.3024292908719475,1.989448230446458,-0.8832015587970422
1024.4401904784477,111.0,2.8,369.8479794933533,2.0,-0.02349679947792698,2.536737822993159,3.248538421101198,-0.534318266818845,0.2536980265431295,-1.107880909167827,0.1015883532776399
812.6420560532974,111.0,2.8,412.7051980281688,2.0,-0.9387404188375524,0.17122692024723618,3.783294249164637,-0.8212250517295171,1.5779017036082965,-1.6919693690189632,-0.9255946002089684
1343.788871607388,111.0,2.8,202.50485210047088,2.0,1.7458706817048142,1.9344543254777564,1.1559831859714822,0.7426102218678023,-2.391481062835297,1.7391829698700496,-0.3616628010205376
1254.7931723663285,111.0,2.8,317.5295797292079,2.0,0.9947768164022889,2.6739995287615015,2.5940107704916042,0.10974490284833358,-1.2265059222923262,-0.14631813278653275,0.7021795653888853
